# Prebuilt sherpa-onnx binaries table
# Features alphabet, comma separated
# Indent with tabs (4).

# FEATURES	        ARCH						URL																					                                    NAME											SHA256																DYNAMIC     SIZE(MB)
# Windows MSVC
static		        x86_64-pc-windows-msvc		https://github.com/k2-fsa/sherpa-onnx/releases/download/v1.10.28/sherpa-onnx-v1.10.28-win-x64-static.tar.bz2			sherpa-onnx-v1.10.28-win-x64-static				BECD2A21264C039AA59B7B71D6CD81F33FE732E73251C14391AF5F7E3AE604EA	0           128
none		        x86_64-pc-windows-msvc		https://github.com/k2-fsa/sherpa-onnx/releases/download/v1.10.28/sherpa-onnx-v1.10.28-win-x64-shared.tar.bz2			sherpa-onnx-v1.10.28-win-x64-shared				20849F9A77D30B68A4323B462DB3E39ABE6A0F879BBBA2529D60D5E0D8143E13	1           19
# Linux x86-64
static		        x86_64-unknown-linux-gnu	https://github.com/k2-fsa/sherpa-onnx/releases/download/v1.10.28/sherpa-onnx-v1.10.28-linux-x64-static.tar.bz2			sherpa-onnx-v1.10.28-linux-x64-static			F93B03D9D9EFB866CE55802EBE4DE413A5FFC46577E42F1167FC17B90212057E	0           225
none		        x86_64-unknown-linux-gnu	https://github.com/k2-fsa/sherpa-onnx/releases/download/v1.10.28/sherpa-onnx-v1.10.28-linux-x64-shared.tar.bz2			sherpa-onnx-v1.10.28-linux-x64-shared			044ABE51528A92C50D7B34424EB3154EC162E80DE0E904BF16F9400EB440565C	1           19
# macOS aarch64
static		        aarch64-apple-darwin		https://github.com/k2-fsa/sherpa-onnx/releases/download/v1.10.28/sherpa-onnx-v1.10.28-osx-universal2-static.tar.bz2		sherpa-onnx-v1.10.28-osx-universal2-static		15D6988A1AA2D32BB82CEE4C3AC13705F9EB606168919B6BBC69099D8100CC14	0           300
none		        aarch64-apple-darwin		https://github.com/k2-fsa/sherpa-onnx/releases/download/v1.10.28/sherpa-onnx-v1.10.28-osx-universal2-shared.tar.bz2		sherpa-onnx-v1.10.28-osx-universal2-shared		8E753478C4AD52F659AC5E0647E128BCF7EB419C4F40A3C3179426521FDCCCC2	1           19
# macOS x86-64
static		        x86_64-apple-darwin			https://github.com/k2-fsa/sherpa-onnx/releases/download/v1.10.28/sherpa-onnx-v1.10.28-osx-universal2-static.tar.bz2		sherpa-onnx-v1.10.28-osx-universal2-static		15D6988A1AA2D32BB82CEE4C3AC13705F9EB606168919B6BBC69099D8100CC14	0           300
none		        aarch64-apple-darwin		https://github.com/k2-fsa/sherpa-onnx/releases/download/v1.10.28/sherpa-onnx-v1.10.28-osx-universal2-shared.tar.bz2		sherpa-onnx-v1.10.28-osx-universal2-shared		8E753478C4AD52F659AC5E0647E128BCF7EB419C4F40A3C3179426521FDCCCC2	1           19
